fecha;nombre;provincia;tmed;tmax;horatmax;tmin;horatmin;prec;dir;velmedia;racha;horaracha
2018-01-04;VALÈNCIA, VIVEROS;VALENCIA;18,4;22,0;12:10;14,8;04:00;0,0;22;4,7;14,2;14:30
2018-01-05;VALÈNCIA, VIVEROS;VALENCIA;16,2;20,3;12:20;12,0;23:50;0,0;28;3,1;12,5;11:50
2018-01-10;VALÈNCIA, VIVEROS;VALENCIA;13,8;18,2;12:50;9,5;00:40;0,0;25;2,5;14,7;15:40
2018-01-11;VALÈNCIA, VIVEROS;VALENCIA;13,4;17,6;13:00;9,3;Varias;0,0;25;3,6;12,2;10:20
2018-01-13;VALÈNCIA, VIVEROS;VALENCIA;10,4;14,0;12:00;6,7;04:10;0,0;24;1,1;7,8;23:00
2018-01-15;VALÈNCIA, VIVEROS;VALENCIA;11,1;17,1;13:30;5,1;06:00;0,0;18;1,7;5,8;16:10
2018-01-16;VALÈNCIA, VIVEROS;VALENCIA;15,2;21,4;13:50;8,9;02:00;0,0;24;3,1;10,0;21:10
2018-01-18;VALÈNCIA, VIVEROS;VALENCIA;12,7;17,8;13:50;7,6;07:00;0,0;17;1,1;4,7;17:10
2018-01-22;VALÈNCIA, VIVEROS;VALENCIA;19,2;26,7;15:20;11,7;06:10;0,0;22;1,7;5,3;13:20
2018-01-25;VALÈNCIA, VIVEROS;VALENCIA;12,0;15,0;14:10;8,9;06:50;1,1;24;0,3;7,2;19:30
2018-01-27;VALÈNCIA, VIVEROS;VALENCIA;11,4;15,5;11:50;7,4;07:50;4,9;01;1,7;12,8;23:40
2018-01-28;VALÈNCIA, VIVEROS;VALENCIA;11,0;13,1;12:50;8,8;02:00;10,7;01;3,6;15,0;06:20
2018-01-30;VALÈNCIA, VIVEROS;VALENCIA;11,6;17,2;12:30;6,1;07:00;0,1;11;1,4;4,2;15:00
2018-02-04;VALÈNCIA, VIVEROS;VALENCIA;9,0;11,3;01:00;6,6;08:20;6,8;23;1,9;8,6;03:00
2018-02-05;VALÈNCIA, VIVEROS;VALENCIA;10,0;13,8;13:40;6,1;06:30;5,8;22;0,3;7,5;22:00
2018-02-21;VALÈNCIA, VIVEROS;VALENCIA;12,2;16,6;11:30;7,9;23:59;0,0;10;1,4;8,9;14:20
2018-03-03;VALÈNCIA, VIVEROS;VALENCIA;15,0;19,5;14:20;10,6;01:10;0,0;25;3,9;14,2;04:30
2018-03-04;VALÈNCIA, VIVEROS;VALENCIA;13,8;17,7;14:10;9,9;23:00;2,8;24;1,7;9,2;11:30
2018-03-09;VALÈNCIA, VIVEROS;VALENCIA;17,6;23,5;14:00;11,7;;0,0;25;1,7;8,6;09:50
2018-03-11;VALÈNCIA, VIVEROS;VALENCIA;16,3;19,4;12:20;13,2;15:00;0,5;28;4,4;16,7;14:50
2018-03-12;VALÈNCIA, VIVEROS;VALENCIA;17,0;21,4;14:20;12,7;06:50;0,1;27;4,4;14,7;01:50
2018-03-22;VALÈNCIA, VIVEROS;VALENCIA;10,0;15,1;11:30;5,0;06:00;0,0;32;2,2;7,8;01:50
2018-03-25;VALÈNCIA, VIVEROS;VALENCIA;14,8;19,7;12:20;9,8;05:00;0,1;10;1,7;7,8;14:10
2018-03-26;VALÈNCIA, VIVEROS;VALENCIA;14,8;21,4;12:50;8,3;05:00;0,1;35;2,2;11,7;12:50
2018-03-28;VALÈNCIA, VIVEROS;VALENCIA;21,1;30,0;14:00;12,2;05:00;0,0;24;2,8;10,6;17:20
2018-04-06;VALÈNCIA, VIVEROS;VALENCIA;15,4;18,9;11:30;11,9;Varias;0,0;03;1,7;8,6;17:10
2018-04-08;VALÈNCIA, VIVEROS;VALENCIA;16,6;22,6;12:20;10,5;03:50;0,0;36;3,1;14,7;14:10
2018-04-09;VALÈNCIA, VIVEROS;VALENCIA;15,3;19,9;13:50;10,7;23:59;0,0;24;4,7;13,3;17:10
2018-04-15;VALÈNCIA, VIVEROS;VALENCIA;19,0;27,0;14:40;11,1;04:00;0,0;24;3,6;12,2;17:30
2018-04-18;VALÈNCIA, VIVEROS;VALENCIA;17,7;23,3;13:40;12,1;05:30;0,0;10;1,1;8,6;16:40
2018-04-21;VALÈNCIA, VIVEROS;VALENCIA;16,2;20,3;11:40;12,1;05:30;0,0;13;1,1;4,7;11:50
2018-04-22;VALÈNCIA, VIVEROS;VALENCIA;18,0;22,6;11:30;13,3;05:00;0,0;10;1,4;6,7;13:40
2018-04-23;VALÈNCIA, VIVEROS;VALENCIA;20,0;24,7;13:30;15,4;05:00;0,0;10;0,3;5,6;15:00
2018-04-24;VALÈNCIA, VIVEROS;VALENCIA;19,1;23,2;12:40;15,0;02:00;0,0;99;1,9;6,4;Varias
2018-04-27;VALÈNCIA, VIVEROS;VALENCIA;18,6;23,2;13:50;14,1;05:20;5,4;05;1,1;8,1;16:20
2018-04-29;VALÈNCIA, VIVEROS;VALENCIA;18,2;21,5;13:30;15,0;23:59;0,0;26;5,3;15,6;14:30
2018-05-02;VALÈNCIA, VIVEROS;VALENCIA;18,0;26,7;13:10;9,3;05:40;0,0;23;1,4;8,6;11:00
2018-05-03;VALÈNCIA, VIVEROS;VALENCIA;20,0;25,7;10:20;14,2;23:30;0,0;10;3,1;11,1;13:10
2018-05-06;VALÈNCIA, VIVEROS;VALENCIA;19,3;24,2;11:10;14,4;04:30;0,0;10;1,4;7,2;14:00
2018-05-12;VALÈNCIA, VIVEROS;VALENCIA;21,6;27,5;17:20;15,6;05:10;0,0;11;2,5;11,4;16:40
2018-05-13;VALÈNCIA, VIVEROS;VALENCIA;18,9;24,9;12:50;12,9;05:30;0,0;10;2,2;10,3;14:20
2018-05-16;VALÈNCIA, VIVEROS;VALENCIA;17,9;22,7;13:20;13,1;05:00;0,0;10;1,4;6,4;13:30
2018-05-19;VALÈNCIA, VIVEROS;VALENCIA;19,2;23,7;09:50;14,8;05:00;0,0;10;1,7;6,9;13:20
2018-05-21;VALÈNCIA, VIVEROS;VALENCIA;19,6;23,5;11:50;15,6;05:40;0,0;10;1,4;7,8;15:00
2018-05-22;VALÈNCIA, VIVEROS;VALENCIA;;;;;;0,0;09;0,8;7,5;13:10
2018-05-27;VALÈNCIA, VIVEROS;VALENCIA;20,8;24,4;12:00;17,3;23:59;8,6;21;1,4;10,6;16:40
2018-05-30;VALÈNCIA, VIVEROS;VALENCIA;22,2;27,1;12:50;17,4;05:00;0,1;13;1,4;10,0;13:20
2018-05-31;VALÈNCIA, VIVEROS;VALENCIA;21,0;25,7;12:00;16,4;04:10;0,0;11;1,7;7,2;12:20
2018-06-04;VALÈNCIA, VIVEROS;VALENCIA;23,6;29,9;14:40;17,3;04:40;0,1;28;2,2;9,7;15:30
2018-06-07;VALÈNCIA, VIVEROS;VALENCIA;20,5;25,9;11:10;15,1;05:00;0,1;11;2,5;8,6;14:00
2018-06-10;VALÈNCIA, VIVEROS;VALENCIA;22,6;25,5;13:20;19,6;04:00;0,0;16;1,4;7,2;15:00
2018-06-17;VALÈNCIA, VIVEROS;VALENCIA;22,8;26,9;10:40;18,6;05:00;0,0;12;1,1;7,2;Varias
2018-06-19;VALÈNCIA, VIVEROS;VALENCIA;23,4;27,8;11:10;19,0;03:50;0,0;14;2,2;8,3;14:50
2018-06-26;VALÈNCIA, VIVEROS;VALENCIA;25,2;28,3;11:40;22,0;05:00;0,0;11;2,2;8,3;15:20
2018-06-30;VALÈNCIA, VIVEROS;VALENCIA;25,2;28,8;12:10;21,6;05:40;0,0;14;1,1;6,9;13:50
2018-07-02;VALÈNCIA, VIVEROS;VALENCIA;28,8;36,0;13:50;21,7;06:00;0,0;10;2,5;11,1;14:30
2018-07-11;VALÈNCIA, VIVEROS;VALENCIA;26,3;29,3;11:20;23,3;04:50;0,0;11;1,4;8,1;14:20
2018-07-21;VALÈNCIA, VIVEROS;VALENCIA;26,3;29,2;13:40;23,4;04:40;0,0;08;1,4;8,3;14:20
2018-07-23;VALÈNCIA, VIVEROS;VALENCIA;25,9;29,9;13:30;21,9;05:20;0,0;09;1,7;8,9;14:00
2018-07-28;VALÈNCIA, VIVEROS;VALENCIA;26,4;30,2;11:10;22,6;05:00;0,0;13;1,4;6,7;11:50
2018-07-29;VALÈNCIA, VIVEROS;VALENCIA;27,4;30,7;12:20;24,1;05:00;0,0;11;1,9;7,2;12:50
2018-07-30;VALÈNCIA, VIVEROS;VALENCIA;27,0;30,9;12:00;23,1;05:10;0,0;13;1,1;7,8;13:50
2018-08-08;VALÈNCIA, VIVEROS;VALENCIA;27,2;31,0;11:00;23,5;02:20;7,1;12;2,8;10,6;17:30
2018-08-11;VALÈNCIA, VIVEROS;VALENCIA;27,4;29,8;15:00;24,9;01:00;0,0;11;1,9;8,1;14:20
2018-08-14;VALÈNCIA, VIVEROS;VALENCIA;27,2;29,9;11:30;24,5;05:40;0,0;13;1,9;7,8;12:40
2018-08-16;VALÈNCIA, VIVEROS;VALENCIA;25,8;28,5;15:40;23,2;09:30;0,0;99;1,4;5,8;Varias
2018-08-18;VALÈNCIA, VIVEROS;VALENCIA;24,8;27,1;10:10;22,4;01:30;0,0;10;1,4;8,3;16:00
2018-08-23;VALÈNCIA, VIVEROS;VALENCIA;26,8;31,4;13:30;22,1;05:50;0,1;28;2,2;7,2;20:50
2018-08-25;VALÈNCIA, VIVEROS;VALENCIA;25,8;29,0;10:40;22,6;04:40;0,0;09;1,4;8,3;14:20
2018-08-27;VALÈNCIA, VIVEROS;VALENCIA;27,0;30,0;11:20;24,0;06:00;0,0;14;2,5;8,1;15:00
2018-08-29;VALÈNCIA, VIVEROS;VALENCIA;27,2;30,6;13:10;23,7;06:00;0,0;11;1,7;7,8;14:40
2018-08-30;VALÈNCIA, VIVEROS;VALENCIA;26,9;30,5;12:00;23,3;06:00;0,0;10;1,1;7,5;12:30
2018-09-03;VALÈNCIA, VIVEROS;VALENCIA;26,0;30,0;13:50;21,9;23:59;2,5;09;1,1;10,0;20:00
2018-09-04;VALÈNCIA, VIVEROS;VALENCIA;25,8;31,2;12:40;20,5;06:00;0,4;09;0,8;7,5;15:40
2018-09-06;VALÈNCIA, VIVEROS;VALENCIA;25,6;28,8;11:30;22,5;04:20;0,0;13;1,4;7,5;12:10
2018-09-07;VALÈNCIA, VIVEROS;VALENCIA;25,0;28,2;10:50;21,9;05:30;0,0;11;1,4;6,9;13:10
2018-09-13;VALÈNCIA, VIVEROS;VALENCIA;25,2;29,4;10:30;21,1;05:20;0,0;12;1,7;6,9;15:20
2018-09-15;VALÈNCIA, VIVEROS;VALENCIA;22,4;25,0;00:10;19,9;10:50;41,8;10;1,9;8,6;08:00
2018-09-17;VALÈNCIA, VIVEROS;VALENCIA;24,2;28,2;12:20;20,2;06:00;41,3;36;0,6;8,9;23:20
2018-09-21;VALÈNCIA, VIVEROS;VALENCIA;25,6;30,8;12:00;20,4;05:50;0,0;99;1,4;4,7;Varias
2018-09-27;VALÈNCIA, VIVEROS;VALENCIA;23,0;26,6;12:50;19,4;06:00;0,0;34;0,8;7,2;08:20
2018-09-29;VALÈNCIA, VIVEROS;VALENCIA;23,4;29,2;11:00;17,5;04:30;0,0;14;2,2;7,5;14:30
2018-10-06;VALÈNCIA, VIVEROS;VALENCIA;22,2;26,9;12:10;17,5;05:50;0,0;10;1,1;5,6;12:40
2018-10-07;VALÈNCIA, VIVEROS;VALENCIA;21,6;25,5;10:50;17,6;06:40;0,0;14;0,6;8,6;17:00
2018-10-18;VALÈNCIA, VIVEROS;VALENCIA;16,8;17,7;08:40;15,8;23:30;127,8;36;0,6;8,6;11:30
2018-10-19;VALÈNCIA, VIVEROS;VALENCIA;19,0;22,5;14:30;15,6;06:40;14,3;36;1,1;6,4;Varias
2018-10-22;VALÈNCIA, VIVEROS;VALENCIA;20,0;24,6;11:00;15,5;06:00;0,0;02;1,7;7,5;10:50
2018-10-23;VALÈNCIA, VIVEROS;VALENCIA;19,6;23,3;12:50;16,0;05:50;0,0;10;0,3;5,3;13:40
2018-10-25;VALÈNCIA, VIVEROS;VALENCIA;20,2;26,6;12:10;13,7;04:50;0,0;12;0,8;5,3;14:10
2018-10-28;VALÈNCIA, VIVEROS;VALENCIA;12,1;15,8;11:50;8,4;08:00;0,0;32;1,7;8,3;20:40
2018-10-30;VALÈNCIA, VIVEROS;VALENCIA;11,8;13,7;11:40;10,0;04:20;10,2;22;2,2;9,7;02:10
2018-11-02;VALÈNCIA, VIVEROS;VALENCIA;13,4;16,5;14:20;10,2;01:40;0,3;26;1,1;5,8;06:30
2018-11-03;VALÈNCIA, VIVEROS;VALENCIA;14,0;20,3;12:50;7,6;06:40;0,0;10;0,8;5,3;15:30
2018-11-06;VALÈNCIA, VIVEROS;VALENCIA;15,8;20,0;13:50;11,5;01:30;0,0;23;3,6;11,1;11:50
2018-11-10;VALÈNCIA, VIVEROS;VALENCIA;16,2;18,4;15:00;14,1;Varias;0,0;25;2,8;12,2;17:20
2018-11-11;VALÈNCIA, VIVEROS;VALENCIA;19,8;25,6;13:40;13,9;02:10;0,0;20;1,4;6,9;10:20
2018-11-12;VALÈNCIA, VIVEROS;VALENCIA;16,0;19,9;13:00;12,2;05:20;0,0;36;1,4;8,3;13:20
2018-11-14;VALÈNCIA, VIVEROS;VALENCIA;17,4;19,3;10:50;15,6;06:50;2,1;36;0,8;6,4;11:50
